Good morning	 = 	Guten Morgen
Good day	 = 	Guten Tag
Good evening	 = 	Guten Abend
Good night	 = 	Gute Nacht
Goodbye	 = 	Auf Wiedersehen
Bye	 = 	Tschüs
Let's go!	 = 	Gehen wir!
See you later	 = 	Bis später
See you soon	 = 	Bis bald
See you tomorrow	 = 	Bis morgen
Please	 = 	Bitte
Thank you	 = 	Danke
You're welcome	 = 	Bitte schön
I'm sorry	 = 	Es tut mir leid
Excuse me	 = 	Entschuldigen Sie
Pardon me	 = 	Verzeihung
How are you? (formal)	 = 	Wie geht es Ihnen?
How are you? (informal)	 = 	Wie geht's?
Very good	 = 	Sehr gut
Bad	= 	Schlecht
I'm ok	 = 	Es geht.
Yes	 = 	Ja
No	 = 	Nein
What's your name? (formal)	 = 	Wie heißen Sie?
What's your name? (informal)	 = 	Wie heißt du?
My name is...	 = 	Ich heiße...
Nice to meet you.	 = 	Es freut mich.
Likewise.	 = 	Gleichfalls.
Where are you from? (informal)	 = 	Woher kommst du?
I'm from...	 = 	Ich komme aus...
Where are you from? (formal)	 = 	Woher kommen Sie?
